,TITLE,LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,CITY,LA_N,RA_N,BY_N,PRICE_N
0, House for Sale,"Imadol, Lalitpur",Rs. 2.9 Cr ,4.0 aana,12 Feet,West,3.0,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Closet', 'Dining Room', 'Pantry', 'Bed Room']", Lalitpur,4.0,12,2076,29000000.0
1, House for Sale,"Satdobato, Lalitpur",Rs. 4.75 Cr ,3.0 aana,10 Feet,West,4.5,5.0,6.0,2076 B.S,"['Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Modular Kitchen', 'Closet', 'Bed Room', 'Pantry', 'Dining Room', 'Bathroom', 'Store Room']", Lalitpur,3.0,10,2076,47500000.0
2,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 1.99 Cr ,2.3 aana,10 Feet,West,2.5,4.0,4.0,2060 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Closet', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room']", Lalitpur,2.3,10,2060,19900000.0
3,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr ,7.0 aana,12 Feet,North-West,2.5,4.0,3.0,2059 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Parking', 'Drinking Water', 'Garden', 'Modular Kitchen', 'Internet', 'Closet', 'MiCrowave']", Lalitpur,7.0,12,2059,40000000.0
4, House for Rent,"Maharajgunj, Kathmandu",Rs. 12000000,6.0 aana,20 Feet,South,2.0,4.0,4.0,2071 B.S,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Closet', 'Modular Kitchen', 'Bed Room', 'Bathroom', 'Living Room', 'Guest Room', 'Prayer Room']", Kathmandu,6.0,20,2071,12000000.0
5,Bungalow House for Rent,"Bhaisepati, Lalitpur",Rs. 27000000,6.0 aana,12 Feet,South-East,2.5,6.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Gym']", Lalitpur,6.0,12,2076,27000000.0
6,3 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 3.3 Cr ,3.2 aana,13 Feet,North-West,2.5,4.0,3.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Water Purifier', 'Fridge', 'Sofa', 'Closet', 'Internet', 'MiCrowave']", Lalitpur,3.2,13,2074,33000000.0
7, House for Sale,"Budhanilkantha, Kathmandu",Rs. 4 Cr ,4.3 aana,14 Feet,North-East,2.5,5.0,4.0,2065 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Closet', 'Bed Room', 'Dining Room']", Kathmandu,4.3,14,2065,40000000.0
8, House for Sale,"Gyaneshwor, Kathmandu",Rs. 4.5 Cr ,2.2 aana,10 Feet,West,5.5,13.0,5.0,2066 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Power Backup', 'Closet', 'Dining Room', 'Pantry']", Kathmandu,2.2,10,2066,45000000.0
9, House for Sale,"Bhaisepati, Lalitpur",Rs. 3 Cr,5.0 aana,12 Feet,East,3.0,5.0,5.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Power Backup', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Sofa', 'Fridge']", Lalitpur,5.0,12,2075,30000000.0
10, House for Sale,"Imadol, Lalitpur",Rs. 4.99 Cr ,5.2 aana,13 Feet,North-East,3.0,6.0,5.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Power Backup', 'Internet', 'Closet', 'MiCrowave']", Lalitpur,5.2,13,2079,49900000.0
